Objekt,Navn,Type,Formel,UoM,Målernivå
VIS-Måler,Ranheim helse og velferd -fastkraft-68284627-timesmålt,Fastkraft,707057500068284627,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Olavsgården rehabiliteringssenter,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 65430486,Fjernvarme,ESAVE_89436-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Olavsgården rehab-fastkraft-68238019-timesmålt,Fastkraft,707057500068238019,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Nypantunet sykehjem,,,,
VIS-Måler,Fjernvarme,Fjernvarme,ESAVE_942110464_7219716.8.m_EAN,kWh,Forbruksmåler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fatskraft 21596428954286,Fastkraft,707057500068615964,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Nidarvoll helsehus,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 66475772,Fjernvarme,ESAVE_19688-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Fjernvarme 65747067,Fjernvarme,ESAVE_19686-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Nidarvoll helseh(hus2(A))-fastkraft-68615247-times,Fastkraft,707057500068615247,kWh,Forbruksmåler
VIS-Måler,Nidarvoll helseh(hus1(B))-fastkraft-68615230-times,Fastkraft,707057500068615230,kWh,Forbruksmåler
VIS-Måler,Nidarvoll helsehus(kjell.hus1(B))-fast-67926870-ti,Fastkraft,707057500067926870,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Munkvoll hvs,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 66727550,Fjernvarme,ESAVE_115557-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Munkvoll helse og velferd -fastkraft-68667505-timesmålt,Fastkraft,707057500068667505,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Moholt helse- og velferdssenter,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Moholt helse og velferd -fastkraft-68115686-timesmålt,Fastkraft,707057500068115686,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Kystad sykehjem,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 66361484,Fjernvarme,ESAVE_229044-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Kystad sykehjem-fastkraft-68645787-timesmålt,Fastkraft,707057500068645787,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Kattem helse- og velferdssenter,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fastkraft 68799268,Fastkraft,707057500068799268,kWh,Forbruksmåler
VIS-Måler,Fjernvarme 65959676,Fjernvarme,ESAVE_243200-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Eklima_68860_OT,Ikke valgt,Eklima_68860_OT,timer,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Ilsvika helse og velferdssenter,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Ilsvika helse og velferd -fastkra.-kafet. og dagsent-68619269-ti,Fastkraft,707057500068619269,kWh,Forbruksmåler
VIS-Måler,Ilsvika helse og velferd -fastkraft-2. og 3.etg-68619252-timesmå,Fastkraft,707057500068619252,kWh,Forbruksmåler
VIS-Måler,Ilsvika helse og velferd fastkr.syk.hj.bod vaskerom 67743972,Fastkraft,707057500067743972,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Ilevollen helse og velferdssenter,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 65786872,Fjernvarme,ESAVE_232321-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Ilevollen helse og velferd senter-fastkraft-68613861-timesmålt,Fastkraft,707057500068613861,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Havsteinekra helse og velferdssenter,,,,
VIS-Måler,Vann,Vann,ESAVE_942110464_24_ID,m3,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fastkraft 68737444,Fastkraft,707057500068737444,kWh,Forbruksmåler
VIS-Måler,Fastkraft 40439311,Fastkraft,707057500068737550,kWh,Forbruksmåler
VIS-Måler,Fjernvarme 67454373,Fjernvarme,ESAVE_181460-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Fjernvarme 67221838,Fjernvarme,ESAVE_186380-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Havstein sykehjem,,,,
VIS-Måler,Vann,Vann,ESAVE_942110464_23_ID,m3,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 67591592,Fjernvarme,ESAVE_180280-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Havstein bo og servicesenter (inng 1)-fastkraft-68614967-timesm,Fastkraft,707057500068614967,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - E C Dahls helse og velferdssenter,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 65667345,Fjernvarme,ESAVE_89423-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,E.C.Dahls helse og velferd -fastkraft-68595754-timesmålt,Fastkraft,707057500068595754,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Dragvoll helse- og velferdssenter,,,,
VIS-Måler,Sol,Fastkraft,EID_942110464_00122,kWh,Forbruksmåler
VIS-Måler,Vann,Vann,ESAVE_942110464_22_ID,m3,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 66822828,Fjernvarme,ESAVE_280154-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Dragvoll helse og velferd senter- fastkraft- 68853533 - timesmål,Fastkraft,707057500068853533,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Charlottenlund helse og velferdssenter,,,,
VIS-Måler,Vann,Vann,ESAVE_942110464_34_ID,m3,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 66582929,Fjernvarme,ESAVE_270445-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Charlottenlund helse og velferd senter-fastkraft-68822829-timesm,Fastkraft,707057500068822829,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Buran helse og Velferdssenter,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Buran helse og velferd -fastkraft-68219421-timesmålt,Fastkraft,707057500068219421,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Brundalen helse og velferdssenter,,,,
VIS-Måler,Vann,Vann,ESAVE_942110464_29_ID,m3,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 67222016,Fjernvarme,ESAVE_180381-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Brundalen helse og velferd -fastkraft-68613342-timesmålt,Fastkraft,707057500068613342,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Bromstad helse og velferdssenter,,,,
VIS-Måler,Vannmåler,Vann,ESAVE_942110464_55_ID,m3,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 68076566,Fjernvarme,ESAVE_220852-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Bromstad helse og velferd-fastkraft-68130610-timesmålt,Fastkraft,707057500068130610,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Åsvang barneskole,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 66727589,Fjernvarme,ESAVE_112136-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Åsvang b.skole-fastkraft68636099-timesmålt-,Fastkraft,707057500068636099,kWh,Forbruksmåler
VIS-Måler,Åsvang b.skole-fastkraft- Festsal-68614189-timesmå,Fastkraft,707057500068614189,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Åsheim ungdomsskole,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 66362760,Fjernvarme,ESAVE_128972-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Åsheim u.skole-fastkraft-68688777-timesmålt,Fastkraft,707057500068688777,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Åsheim barneskole,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 66008549,Fjernvarme,ESAVE_79905-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Åsheim b.skole-fastkraft-68613588-timesmålt,Fastkraft,707057500068613588,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Vikåsen barneskole,,,,
VIS-Måler,Vann,Vann,ESAVE_942110464_36_ID,m3,Annen måler
VIS-Måler,Vann,Vann,ESAVE_942110464_36_ID,m3,Annen måler
VIS-Måler,Nærvarme gammel,Fjernvarme,ESAVE_942110464_78188539.8.m_EAN,kWh,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Nærvarme,Varme,EID_942110464_00087,kWh,Forbruksmåler
VIS-Måler,Fastkraft 68618019,Fastkraft,707057500068618019,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Utleira barneskole,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 66475764,Fjernvarme,ESAVE_25704-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Utleira b.sk.-fastkraft-Tilfluktsrom-67987055-time,Fastkraft,707057500067987055,kWh,Forbruksmåler
VIS-Måler,Utleira b.skole-fastkraft-68615520-timesmålt,Fastkraft,707057500068615520,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Ugla ungdomsskole,,,,
VIS-Måler,FK 2. etg brakke 2 27136348.1.m,Fastkraft,ESAVE_942110464_27136348.1.m_EAN,kWh,Annen måler
VIS-Måler,FK 1. etg brakke 2 27136343.1.m,Fastkraft,ESAVE_942110464_27136343.1.m_EAN,kWh,Annen måler
VIS-Måler,FK 2. etg brakke 1 27136349.1.m,Fastkraft,ESAVE_942110464_27136349.1.m_EAN,kWh,Annen måler
VIS-Måler,FK 1. etg brakke 1 27136352.1,Fastkraft,ESAVE_942110464_27136352.1.m_EAN,kWh,Annen måler
VIS-Måler,FK Skole uten brakker,Fastkraft,707057500068615315-ESAVE_942110464_27136343.1.m_EAN-ESAVE_942110464_27136348.1.m_EAN-ESAVE_942110464_27136349.1.m_EAN-ESAVE_942110464_27136352.1.m_EAN,kWh,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler, Ugla u.skole fastkraft 68615315 timesmålt,Fastkraft,707057500068615315,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Tonstad barne og ungdomsskole,,,,
VIS-Måler,Vann,Vann,ESAVE_942110464_38_ID,m3,Annen måler
VIS-Måler,FK Hovedbygg uten tilbygg og hvitbrakker,Fastkraft,707057500068613274-ESAVE_942110464_27136342.1.m_EAN-ESAVE_942110464_27136351.1.m_EAN-ESAVE_942110464_27136350.1.m_EAN,kWh,Annen måler
VIS-Måler,FK Tilbygg 2012 - 27136342.1,Fastkraft,ESAVE_942110464_27136342.1.m_EAN,kWh,Annen måler
VIS-Måler,FK Hvitbrakke nor 27136351.1,Fastkraft,ESAVE_942110464_27136351.1.m_EAN,kWh,Annen måler
VIS-Måler,FK Hvitbrakke sør 27136350.1,Fastkraft,ESAVE_942110464_27136350.1.m_EAN,kWh,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 68707464,Fjernvarme,ESAVE_67798-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Tonstad b/u.skole-fastkraft-68613274-timesmålt,Fastkraft,707057500068613274,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Sverresborg ungdomsskole,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 66996147,Fjernvarme,ESAVE_179802-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Sverresborg.u.sk-fastkraft-gml.bygg-68732593-times,Fastkraft,707057500068732593,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Sunnland ungdomsskole,,,,
VIS-Måler,Vann bygg B,Vann,ESAVE_942110464_31_ID,m3,Annen måler
VIS-Måler,Vann bygg C,Vann,ESAVE_942110464_30_ID,m3,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 66255231,Fjernvarme,ESAVE_19727-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Sunnland u.skole-fastkraft-68615254-timesmålt,Fastkraft,707057500068615254,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Strindheim skole,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 66361515,Fjernvarme,ESAVE_40984-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Strindheim b.skole-fastkraft-68667611-timesmålt,Fastkraft,707057500068667611,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Steindal barneskole,,,,
VIS-Måler,Vann,Vann,ESAVE_942110464_41_ID,m3,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Steindal b.skole-fastkraft-68613687 -timesmålt,Fastkraft,707057500068613687,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Stabbursmoen barne og ungdomsskole,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Stabbursmoen b/u.skole-fastkraft-68613694-timesmål,Fastkraft,707057500068613694,kWh,Forbruksmåler
VIS-Måler,Stabbursmoen b/usk-fastkr-pav.2.etg-68681655-times,Fastkraft,707057500068681655,kWh,Forbruksmåler
VIS-Måler,Stabbursmoen b/u.sk-fastkr-Pavil.1.etg.-68681617-t,Fastkraft,707057500068681617,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Sjetne barne og ungdomsskole,,,,
VIS-Måler,Eltavler 433.01/02/03,Fastkraft,EID_942110464_00049,kWh,Annen måler
VIS-Måler,Eltavle 433.04,Fastkraft,EID_942110464_00053,kWh,Annen måler
VIS-Måler,Ladestasjon elbil,Fastkraft,EID_942110464_00048,kWh,Annen måler
VIS-Måler,Varmekabel trapp bygg C,Fastkraft,EID_942110464_00054,kWh,Annen måler
VIS-Måler,COP varmepumpe,Virkningsgrad,EID_942110464_00047/(EID_942110464_00050+EID_942110464_00051),,Annen måler
VIS-Måler,Elkjel,Elkjel,EID_942110464_00052,kWh,Annen måler
VIS-Måler,Varmepumpe tilført kompressor 2,Fastkraft,EID_942110464_00051,kWh,Annen måler
VIS-Måler,Varmepumpe tilført kompressor 1,Fastkraft,EID_942110464_00050,kWh,Annen måler
VIS-Måler,Produert energi varmepumpe,Varme,EID_942110464_00047,kWh,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Sjetne b/u.sko.-uprio.-SFObygget og 360 hovedbygg,Fastkraft,707057500068563944,kWh,Forbruksmåler
VIS-Måler,Sjetne b/u.skole fastkraft 68614059,Fastkraft,707057500068614059-EID_942110464_00048,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Singsaker barneskole,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Sinsaker b.skole-uprioritert-68563968-timesmålt,Fastkraft,707057500068563968,kWh,Forbruksmåler
VIS-Måler,Singsaker b.skole-fastkraft-68614066 -timesmålt,Fastkraft,707057500068614066,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Selsbakk ungdomsskole,,,,
VIS-Måler,Vann,Vann,ESAVE_942110464_39_ID,m3,Annen måler
VIS-Måler,Fjernvarme 66361518,Fjernvarme,ESAVE_129372-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,FK uten brakker,Fastkraft,707057500068614622-ESAVE_942110464_27216711.1.m_EAN-ESAVE_942110464_27216718.1.m_EAN-ESAVE_942110464_27216719.1.m_EAN-ESAVE_942110464_27216721.1.m_EAN-ESAVE_942110464_27216723.1.m_EAN,kWh,Annen måler
VIS-Måler,FK Musikkcontainer 27216723.1,Fastkraft,ESAVE_942110464_27216723.1.m_EAN,kWh,Annen måler
VIS-Måler,"FK 2. etg brakke 2, 27216718.1",Fastkraft,ESAVE_942110464_27216718.1.m_EAN,kWh,Annen måler
VIS-Måler,"FK 1. etg brakke 2, 27216711.1",Fastkraft,ESAVE_942110464_27216711.1.m_EAN,kWh,Annen måler
VIS-Måler,"FK 2. etg brakke 1, 27216719.1",Fastkraft,ESAVE_942110464_27216719.1.m_EAN,kWh,Annen måler
VIS-Måler,"FK 1. etg brakke 1, 27216721.1",Fastkraft,ESAVE_942110464_27216721.1.m_EAN,kWh,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Faskraft tilfluktsrom 67840121,Fastkraft,707057500067840121,kWh,Forbruksmåler
VIS-Måler,Fastkraft 68614622,Fastkraft,707057500068614622,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Saupstad barneskole,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fjernvarme 66979649,Fjernvarme,ESAVE_180322-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Fastkraft 68614899 ,Fastkraft,707057500068614899,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Rye barneskole,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Rye b/u.skole-uprioritert-68564781-timesmålt,Fastkraft,707057500068564781,kWh,Forbruksmåler
VIS-Måler,Rye b/u.skole-fastkraft-68615865-timesmålt,Fastkraft,707057500068615865,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Rosten barne og ungdomsskole,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 66633988,Fjernvarme,ESAVE_67069-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Rosten b/u skole-fastkraft-68612796-timesmålt,Fastkraft,707057500068612796,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Rosenborg ungdomsskole,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 68666417,Fjernvarme,ESAVE_128129-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Rosenborg U.skole(NY)-fastkraft-68794874-timesmålt,Fastkraft,707057500068794874,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Romolslia barneskole,,,,
VIS-Måler,Vann,Vann,ESAVE_942110464_43_ID,m3,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Romolslia b.skole-fastkraft-68617999-timesmålt,Fastkraft,707057500068617999,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Ranheim barneskole,,,,
VIS-Måler,Vann,Vann,ESAVE_942110464_28_ID,m3,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 66156120,Fjernvarme,ESAVE_246193-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Ranheim(ny) b.skole - fastkraft - 68799732 - times,Fastkraft,707057500068799732,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Okstad barneskole,,,,
VIS-Måler,Vann,Vann,ESAVE_942110464_42_ID,m3,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fjernvarme 66474268,Fjernvarme,ESAVE_76656-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Okstad b.skole-fastkraft-68496570-timesmålt,Fastkraft,707057500068496570,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Nypvang barneskole,,,,
VIS-Måler,Vann,Vann,ESAVE_942110464_27_ID,m3,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler, 27655055 Paljong vest 1 etasjes,Fastkraft,ESAVE_942110464_27655055.1.m_EAN,kWh,Annen måler
VIS-Måler, 27655054 Pavljong øst 2.etg,Fastkraft,ESAVE_942110464_27655054.1.m_EAN,kWh,Annen måler
VIS-Måler, 27655053 Pavljong øst 1. etg,Fastkraft,ESAVE_942110464_27655053.1.m_EAN,kWh,Annen måler
VIS-Måler,Fastkraft uten brakker,Fastkraft,707057500068615957-ESAVE_942110464_27655053.1.m_EAN-ESAVE_942110464_27655055.1.m_EAN-ESAVE_942110464_27655054.1.m_EAN,kWh,Annen måler
VIS-Måler,Fjernvarme Pellets 7219713.8,Fjernvarme,ESAVE_942110464_7219713.8.m_EAN,kWh,Forbruksmåler
VIS-Måler,Fastkraft 68615957,Fastkraft,707057500068615957,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Nyborg barneskole og barnehage,,,,
VIS-Måler,Vann,Vann,ESAVE_942110464_17_ID,m3,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 65878953,Fjernvarme,ESAVE_228360-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Nyborg barnehage-fastkraft-68665600-timesmålt,Fastkraft,707057500068665600,kWh,Forbruksmåler
VIS-Måler,Nyborg b.skole-fastkraft + Elkjel-nybygg-68687190-,Fastkraft,707057500068687190,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Nidarvoll barneskole,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 67255365,Fjernvarme,ESAVE_24324-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Fjernvarme 68443259,Fjernvarme,ESAVE_24323-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Nidarvoll b.skole-fastkraft-68613199 -timesmålt,Fastkraft,707057500068613199,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Nardo barneskole,,,,
VIS-Måler,Vann,Vann,ESAVE_942110464_16_ID,m3,Annen måler
VIS-Måler,Undermåler 3201_MF02_IM02 Måler,Fjernvarme,ESAVE_NRS:OP01_B1_E_Mtr16_EAN,kWh,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 68304410,Fjernvarme,ESAVE_218170-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Nardo b.skole(ny)-fastkraft-68778430-timesmålt,Fastkraft,707057500068778430,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Markaplassen ungdomsskole,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Nærvarme gammel,Fjernvarme,ESAVE_942110464_78188541.8.m_EAN,kWh,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
